Brand,Device,Manufacturer,Model Name,RAM (TotalMem),Form Factor,System on Chip,GPU,Screen Sizes,Screen Densities,ABIs,Android SDK Versions,OpenGL ES Versions,Install base,User-perceived ANR rate,User-perceived crash rate,Excessive battery usage (watch face)
Azeyou,M17QF27A,Azeyou,M17QF27A,8140MB,Tablet,Spreadtrum T616,ARM Mali G57 (750 MHz),1200x2000,280,arm64-v8a;armeabi;armeabi-v7a,34,3.2,0,0.00%,0.00%,0.00%
helio,helio_50,Helio,helio 50,8146MB,Phone,Mediatek MT6769H,2x ARM Mali G52 (1000 MHz),1080x2400,480,arm64-v8a;armeabi;armeabi-v7a,34,3.2,0,0.00%,0.00%,0.00%
asus,K018,Asus,Transformer Pad (TF103CG),1015MB,Tablet,Intel Z2560,Imagination Tech PowerVR SGX544 (400 MHz),800x1280,160,armeabi;armeabi-v7a;x86,19,2.0,0,0.00%,0.00%,0.00%
htc,htc_ocmdugl,HTC,HTC U11+,5997MB,Phone,Qualcomm MSM8998,Qualcomm Adreno 540 (650 MHz),1440x2880,640,arm64-v8a;armeabi;armeabi-v7a,28,3.2,0,0.00%,0.00%,0.00%
realme,RE5C3B,realme,真我12 Pro+,11957MB,Phone,Qualcomm SM7435,Qualcomm Adreno 7series (940 MHz),1080x2412,480,arm64-v8a;armeabi;armeabi-v7a,36,3.2,0,0.00%,0.00%,0.00%
GLOBAL_3,Global3_B01,Future Mobile Technology,Global3_B01,8072MB,Phone,Mediatek MT6785T,ARM Mali G76 (800 MHz),1080x2340,480,arm64-v8a;armeabi;armeabi-v7a,29,3.2,0,0.00%,0.00%,0.00%
QILIVE,QT24101B,Qilive,QT24101B,2985MB,Tablet,Allwinner A523,ARM Mali G57 (650 MHz),800x1280,200,arm64-v8a;armeabi;armeabi-v7a,33,3.2,0,0.00%,0.00%,0.00%
RANCON,elliniko,KTCtv,RANCON,1872MB,TV,Mediatek MT9676,2x ARM Mali G52 (552 MHz),2160x3840,320,armeabi;armeabi-v7a,34,3.2,0,0.00%,0.00%,0.00%
Hytera,PNC550,Hytera,PNC550_P_TU,3771MB,Phone,Qualcomm SDM450,Qualcomm Adreno 506 (600 MHz),720x1280,320,arm64-v8a;armeabi;armeabi-v7a,28,3.2,0,0.00%,0.00%,0.00%
Infinix,Infinix-X678B,Infinix,NOTE 30 Pro,8058MB,Phone,Mediatek MT6789V/CD,2x ARM Mali G57 (1068 MHz),1080x2400,480,arm64-v8a;armeabi;armeabi-v7a,33;34,3.2,0,0.00%,0.00%,0.00%
Foxx,A65S,FOXX,A65S,3026MB,Phone,Mediatek MT8765A,Imagination Tech PowerVR GE8100 (570 MHz),720x1600,320,armeabi;armeabi-v7a,34,3.2,0,0.00%,0.00%,0.00%
CONTIXO,V10S,Contixo,V10S,3932MB,Tablet,Spreadtrum SC7731E,ARM Mali T820 (600 MHz),600x1024,160,armeabi;armeabi-v7a,30,3.2,0,0.00%,0.00%,0.00%
HOMTOM,HT70,HOMTOM,HT70,4013MB,Phone,Mediatek MT6750T,ARM Mali T860 (650 MHz),720x1440,320,arm64-v8a;armeabi;armeabi-v7a,24,3.2,0,0.00%,0.00%,0.00%
PEAQ,THMTKAW04232,Trekstor,THMTKAW04232_eea,2060MB,Tablet,Mediatek MT8163A,ARM Mali T720 (600 MHz),800x1280,160,arm64-v8a;armeabi;armeabi-v7a,28,3.1,0,0.00%,0.00%,0.00%
ELEVATE,G60X,Elevate,LUNA G60X,3948MB,Phone,Mediatek MT6771,3x ARM Mali G72 (800 MHz),1080x2246,480,arm64-v8a;armeabi;armeabi-v7a,27,3.2,0,0.00%,0.00%,0.00%
Bmobile,Bmobile_BM65_PRO,BMobile,BM65_PRO,4034MB,Phone,Spreadtrum SC9863A,Imagination Tech PowerVR GE8322 (550 MHz),720x1612,320,arm64-v8a;armeabi;armeabi-v7a,34,3.2,0,0.00%,0.00%,0.00%
Huawei,hwG620S-UL00,Huawei,G620S-UL00,940MB,Phone,Qualcomm MSM8916,Qualcomm Adreno 306 (400 MHz),720x1280,320,armeabi;armeabi-v7a,19,3.0,0,0.00%,0.00%,0.00%
